accuracy,loss,val_accuracy,val_loss,learning_rate
0.7143102884292603,0.7873461246490479,0.8607290387153625,0.3848361074924469,9.999999747378752e-05
0.8315273523330688,0.4812920093536377,0.8896148800849915,0.3062227964401245,9.999999747378752e-05
0.8539731502532959,0.41448742151260376,0.908184289932251,0.26574692130088806,9.999999747378752e-05
0.8683350682258606,0.3813439607620239,0.9143741130828857,0.24724212288856506,9.999999747378752e-05
0.8795149922370911,0.34985652565956116,0.9116231203079224,0.24425245821475983,9.999999747378752e-05
0.8859649300575256,0.32942602038383484,0.9246904850006104,0.21941299736499786,9.999999747378752e-05
0.8907808661460876,0.3156440556049347,0.9298486709594727,0.20852142572402954,9.999999747378752e-05
0.8986068367958069,0.30070585012435913,0.9305364489555359,0.2092341184616089,9.999999747378752e-05
0.8982627987861633,0.2953811585903168,0.9298486709594727,0.20757028460502625,9.999999747378752e-05
0.8998968005180359,0.29565396904945374,0.9411966800689697,0.1850743144750595,9.999999747378752e-05
0.9007567763328552,0.28407201170921326,0.939821183681488,0.1859409660100937,9.999999747378752e-05
0.9011008143424988,0.27505770325660706,0.9394773244857788,0.17765270173549652,9.999999747378752e-05
0.9073787331581116,0.2730301320552826,0.9411966800689697,0.17830178141593933,9.999999747378752e-05
0.9067767262458801,0.26521363854408264,0.9270976781845093,0.20385104417800903,9.999999747378752e-05
0.9076367616653442,0.2574138641357422,0.9356946349143982,0.18057239055633545,1.9999999494757503e-05
